credit_score,annual_income,dti,emp_years,existing_loans,loan_amount,loan_term,age,loan_to_income,emi_ratio,default
699,120000.0,13.17,0.0,0,84868.0,60,48,0.7072,0.1414,0
636,120000.0,11.93,4.6,0,212189.0,24,36,1.7682,0.8841,1
714,120000.0,35.8,12.4,0,146795.0,48,40,1.2233,0.3058,0
802,120000.0,22.32,3.6,1,184441.0,48,46,1.537,0.3843,0
626,153230.0,26.91,0.0,1,62797.0,60,27,0.4098,0.082,0
626,120000.0,5.96,1.2,0,252806.0,24,38,2.1067,1.0534,1
807,185181.0,32.28,12.8,4,100007.0,36,56,0.54,0.18,0
726,132279.0,22.84,0.1,0,53971.0,60,32,0.408,0.0816,0
603,120000.0,4.28,2.5,0,205111.0,60,37,1.7093,0.3419,0
704,120000.0,28.08,7.8,0,213220.0,12,64,1.7768,1.7768,1
603,257556.0,17.13,9.1,1,230559.0,36,35,0.8952,0.2984,0
603,153296.0,21.21,3.2,0,233313.0,36,22,1.522,0.5073,1
674,120000.0,9.87,1.3,0,228271.0,48,37,1.9023,0.4756,0
458,120000.0,21.78,4.6,1,526881.0,12,54,4.3907,4.3907,1
477,120000.0,2.89,1.5,1,317547.0,36,48,2.6462,0.8821,1
593,120000.0,6.79,1.5,2,344840.0,36,28,2.8737,0.9579,1
548,120000.0,36.28,8.2,0,257414.0,48,42,2.1451,0.5363,1
681,336148.0,16.96,0.8,1,325342.0,12,36,0.9679,0.9679,0
559,120000.0,13.34,0.0,3,115408.0,12,46,0.9617,0.9617,1
508,125353.0,21.33,2.1,0,273459.0,24,31,2.1815,1.0908,1
796,120000.0,25.55,3.4,2,412515.0,60,42,3.4376,0.6875,1
627,120000.0,18.26,6.1,2,137571.0,24,57,1.1464,0.5732,0
656,120000.0,48.55,7.6,1,488923.0,12,21,4.0744,4.0744,1
507,120000.0,23.56,5.4,0,124391.0,48,43,1.0366,0.2591,0
595,387028.0,17.32,4.9,0,237793.0,24,51,0.6144,0.3072,0
661,120000.0,1.94,5.5,2,72400.0,48,22,0.6033,0.1508,0
534,120000.0,10.1,1.6,1,309181.0,12,30,2.5765,2.5765,1
687,120000.0,17.83,2.4,2,433697.0,48,34,3.6141,0.9035,1
589,213811.0,3.17,4.8,4,159493.0,24,30,0.746,0.373,0
620,120000.0,25.25,0.3,2,56115.0,12,29,0.4676,0.4676,0
589,120000.0,5.91,1.8,1,167610.0,12,34,1.3967,1.3967,1
835,209526.0,14.85,2.6,0,80185.0,24,46,0.3827,0.1913,0
648,153062.0,17.38,3.8,0,175191.0,60,52,1.1446,0.2289,0
544,136361.0,40.61,3.3,1,317593.0,24,51,2.3291,1.1645,1
732,151667.0,50.49,6.3,2,237490.0,24,47,1.5659,0.7829,1
527,415242.0,30.38,3.2,1,47018.0,36,56,0.1132,0.0377,0
670,366245.0,11.29,11.7,0,125458.0,12,58,0.3426,0.3426,0
454,120000.0,17.0,2.4,2,191950.0,36,39,1.5996,0.5332,1
517,261537.0,12.76,3.7,1,493045.0,36,52,1.8852,0.6284,1
669,124231.0,14.56,0.0,1,144616.0,36,42,1.1641,0.388,0
723,133180.0,14.22,1.9,2,242379.0,48,35,1.8199,0.455,0
667,120000.0,9.82,10.1,3,187375.0,24,37,1.5615,0.7807,0
638,120000.0,25.93,2.0,0,101764.0,36,48,0.848,0.2827,0
619,120000.0,29.09,1.5,1,113208.0,48,52,0.9434,0.2358,0
502,162241.0,10.44,3.9,1,139664.0,48,43,0.8608,0.2152,0
578,187709.0,11.14,0.4,1,450293.0,12,34,2.3989,2.3989,1
603,120000.0,33.71,3.8,1,87377.0,24,33,0.7281,0.3641,0
755,120000.0,9.78,1.8,0,140941.0,60,21,1.1745,0.2349,0
684,193516.0,24.94,2.4,0,100753.0,24,41,0.5206,0.2603,0
473,120000.0,36.29,7.8,0,462356.0,48,40,3.853,0.9632,1
682,152885.0,7.5,5.4,1,221226.0,24,27,1.447,0.7235,0
611,121869.0,11.43,3.0,0,487245.0,12,42,3.9981,3.9981,1
582,121176.0,12.24,4.3,2,19287.0,24,42,0.1592,0.0796,0
711,120000.0,15.37,7.3,1,341880.0,48,23,2.849,0.7123,1
